lat, lng
44.5111496,-73.0588062
48.708471,-123.6075594
32.8214583,-111.2031679
48.5344792,-123.3900029
48.5346789,-123.3903738
48.5362149,-123.4098894
47.6983769,-122.3392521
47.6984367,-122.3391696
43.6339857,-79.4066267
43.6339857,-79.4070096
43.6335829,-79.4070921
43.633487,-79.4070184
43.6341564,-79.4082923
48.4794589,-123.3025712
48.4624247,-123.3575592
48.4622574,-123.3568555
38.8512319,-104.8787135
47.6978367,-122.3394815
44.2223926,-76.4991451
37.8941119,-122.2344211
48.4061835,-123.5011375
48.406085,-123.5011155
48.40601,-123.5011628
45.613929,-72.0903609
46.3187419,-71.6741271
46.3684699,-71.6230564
46.4092636,-71.5862007
46.4656385,-71.5301319
43.7255357,-79.4175505
43.7769021,-79.1961403
43.7780017,-79.193627
43.8112265,-79.3050849
37.1715858,-121.7624121
47.619694,-122.1757532
27.5036492,-82.669101
43.771932,-79.3672163
42.5239499,-71.3042356
42.5248742,-71.3027349
42.5249269,-71.3027273
48.8012877,-123.516332
48.8013435,-123.516509
61.1670609,-145.7142309
38.5597566,-121.7453762
47.6194073,-122.1107572
49.096325,-122.0441578
49.096413,-122.0440013
41.451638,-78.0477396
41.4223785,-78.0296399
41.4505903,-78.047518
49.3555733,-123.1104013
43.0282921,-88.041118
43.0284096,-88.0417652
43.0297703,-88.0375514
43.0293135,-88.0375461
43.0293723,-88.0380235
49.3994036,-123.2120222
43.7639336,-79.3531205
51.1662554,-114.0853951
45.5153447,-73.615252
45.5153296,-73.6152198
33.4671498,-117.0703899
33.4674257,-117.0690646
33.4678954,-117.0699043
37.7997104,-122.4519088
53.5403562,-113.4842588
45.454911,-73.5637402
45.4500381,-73.5669159
45.44868,-73.5683906
45.4495187,-73.5674899
45.4466415,-73.5704559
45.4480148,-73.5690933
45.4460944,-73.5710245
45.444324,-73.5731327
45.4443721,-73.5730662
45.4447854,-73.5725641
45.4453809,-73.571856
45.4414194,-73.5777145
45.4414684,-73.5776662
45.4415132,-73.577612
45.442232,-73.5757184
45.4390938,-73.5795432
45.4393083,-73.5793125
45.4381872,-73.5806054
45.439008,-73.5796398
45.4369962,-73.5822361
45.4371572,-73.5820108
45.4373503,-73.5817748
45.4368407,-73.5824185
45.42844,-73.5937911
45.4349471,-73.5859859
45.4204041,-73.6022132
45.4233062,-73.5988444
45.4235155,-73.5985011
45.4238534,-73.5980022
45.4183335,-73.6058449
45.4187304,-73.6047613
45.4193473,-73.6036563
45.4197496,-73.6030233
45.419873,-73.6028033
45.4179311,-73.6074596
45.4181671,-73.6065799
45.4182315,-73.6063063
45.4150719,-73.6227536
45.4151332,-73.6230693
45.4150504,-73.6227805
45.415029,-73.6228342
45.4150665,-73.623081
45.4151219,-73.6228909
45.4151266,-73.6226723
45.4251408,-73.5967685
45.4259187,-73.5963286
45.4494954,-73.5674518
45.5158148,-73.5855197
45.5153431,-73.5850289
45.5153741,-73.5850476
49.1971345,-122.5943266
42.5694163,-71.3724105
45.5215475,-73.5799836
46.2417967,-64.5301843
49.0598985,-120.8378144
49.0596547,-120.8371811
49.0600385,-120.8380821
49.0599097,-120.8378332
49.0595457,-120.8368856
49.0597796,-120.8374982
49.0597908,-120.837517
49.0596435,-120.8371623
49.0600497,-120.8381009
49.3632624,-123.217299
43.6865021,-79.3205118
43.6865413,-79.3204757
39.1901996,-96.5624904
49.2544939,-123.1994542
38.9958268,-77.0201629
38.995129,-77.0195965
38.9957696,-77.020232
42.9691899,-78.9438816
43.0234488,-78.8627715
43.0235437,-78.8632181
43.023587,-78.8642312
43.0192687,-78.8431891
43.0195652,-78.8436734
43.0194503,-78.8432482
43.0195228,-78.8442172
51.019886,-115.0732954
51.0201526,-115.0734053
51.0196988,-115.072834
42.914282,-78.9029857
42.9142823,-78.9030409
42.9143414,-78.9030277
43.8345078,-91.241432
43.8730983,-78.7918832
33.0702711,-117.2520992
33.0720977,-117.2478625
33.072037,-117.2478947
33.0720797,-117.2466099
38.8574104,-104.9107627
33.4740684,-117.0755463
33.0759612,-117.2358789
33.0759766,-117.235923
33.076012,-117.2358973
33.0757779,-117.2360149
33.0759966,-117.2358531
33.0758549,-117.2359689
43.0709453,-77.8097341
43.0874802,-77.8004912
43.02252,-78.8565326
42.4312813,-71.0821452
33.4678705,-117.0701147
33.4683534,-117.069968
34.6913598,-77.0863648
34.691408,-77.0865068
34.6913777,-77.0869178
43.0227702,-78.8330314
49.2022286,-122.9441282
49.2022505,-122.9442021
