latitude,longitude
-52.8834524,-69.3487335
-52.7768035,-69.2911061
-52.7768002,-69.290777
-52.6609661,-69.3383184
-52.5407663,-69.3834922
-49.3374722,-72.8820408
-49.3373236,-72.8821215
-49.3372512,-72.8819099
-49.3372243,-72.8819875
-49.3370577,-72.8815743
-47.6650666,-67.9943858
-47.6650412,-67.9943581
-47.1880827,-72.5272361
-46.9272993,168.1318974
-46.9005688,168.1354034
-46.8988619,168.1292981
-46.8983859,168.1456966
-46.8829076,168.018199
-46.836027,168.0873473
-46.8359572,168.0871014
-46.661426,169.104953
-46.6609892,169.1042467
-46.6593215,168.8506684
-46.6592841,168.8505907
-46.5743562,169.4592062
-46.5617606,-71.9813422
-46.5042225,169.7039289
-46.447392,169.8134811
-46.435142,169.7949097
-46.429941,169.7938661
-46.3901547,169.7815287
-46.3898911,169.7816321
-46.3888625,169.7815673
-46.3885061,169.7815924
-46.3867801,169.7823822
-46.386491,169.776616
-45.9934606,168.8109129
-45.9934261,168.8109585
-45.9487048,170.3349575
-45.9476194,170.3335467
-45.9418145,170.3402671
-45.9412838,170.3408729
-45.9412823,170.3412164
-45.9410903,170.3414949
-45.9093683,170.4722168
-45.9090089,170.4720973
-45.9079359,170.5098501
-45.9078096,170.5099471
-45.9074689,170.510689
-45.9073147,170.5101558
-45.9070159,170.5103302
-45.8832867,170.4977614
-45.8832009,170.497878
-45.8827979,170.4973787
-45.8714268,170.4888332
-45.8696596,170.596704
-45.8696199,170.5970949
-45.8695001,170.5963411
-45.8690383,170.5972495
-45.8591041,170.473084
-45.8585192,170.4728356
-45.857362,170.5179235
-45.8558395,170.5194055
-45.7793691,170.702735
-45.7393498,168.4428401
-45.7388944,168.441892
-45.738886,168.4418242
-45.7388556,168.4418953
-45.7385453,168.4425236
-45.7383712,168.4420442
-45.5027746,170.1262264
-45.5027615,170.1261307
-45.5027312,170.1262594
-45.4422232,167.6887342
-45.4422152,167.6886008
-45.442163,167.6886786
-45.4334769,167.714157
-45.4332402,167.7141242
-45.4267462,167.7160647
-45.4255245,167.7176017
-45.4235968,167.7184868
-45.4235931,167.7183446
-45.423497,167.7183151
-45.3601669,170.8537218
-45.3600282,170.8537084
-45.3599633,170.8541036
-45.3598258,170.8546315
-45.3588151,170.8557218
-45.357334,170.8559169
-45.2583373,170.2695034
-45.1968823,170.4251785
-45.1036017,168.5418514
-45.0232489,168.9557751
-45.0232328,168.9558139
-45.0012962,168.0092538
-45.0009819,168.0082095
-44.986931,168.6711038
-44.8957391,168.0784111
-44.8957106,168.0786096
-44.7902604,-72.2067469
-44.7615844,168.1393951
-44.7615101,168.1387433
-44.761133,168.1394353
-44.7610854,168.1390196
-44.7610492,168.1388292
-44.7610454,168.1391671
-44.760935,168.1393844
-44.7064893,-72.2280811
-44.7060698,-72.2285833
-44.684163,-72.2473655
-44.6818917,-72.2468406
-44.6720024,167.9263835
-44.6719948,167.9264317
-44.6714395,167.9258015
-44.6688189,167.9265477
-44.6485013,-72.3868062
-44.6412878,-72.3527473
-44.509132,169.2473589
-44.4060062,171.2486679
-44.3516415,169.1686655
-44.3515657,169.1696872
-44.2815077,-176.1813856
-44.2069521,170.1005268
-44.2062164,170.0980292
-44.1756476,170.162982
-44.0124028,169.3821764
-44.0123249,169.381357
-44.0121196,169.381049
-44.0120848,169.382086
-44.0120221,169.3809873
-43.9520036,-176.558833
-43.9519719,-176.5588682
-43.9458126,-176.5618538
-43.945775,-176.561859
-43.8800635,169.0422879
-43.854279,172.372475
-43.8017972,172.9679963
-43.8017363,172.9693348
-43.8017187,172.9692789
-43.8016505,172.9680237
-43.8012675,-176.3502884
-43.8012427,172.9689528
-43.8010559,172.9681817
-43.8010404,172.9677861
-43.8009872,172.9678504
-43.7990939,-176.3535642
-43.7990376,-176.3535564
-43.7810807,172.6581043
-43.7641008,-176.5638584
-43.7608422,-176.5718537
-43.7498831,-176.3866046
-43.7454617,-176.3994677
-43.7454349,-176.3994414
-43.721596,169.4115723
-43.7156169,169.2252181
-43.7147298,169.2257658
-43.7129838,170.0744327
-43.6979621,170.163036
-43.6974478,173.0630148
-43.6972449,173.0632236
-43.69698,173.0634767
-43.6965752,173.062744
-43.6963488,173.0626202
-43.6885487,172.370212
-43.6410238,172.4861718
-43.6409307,172.486204
-43.6101682,172.7037451
-43.6100798,172.7037409
-43.609957,172.7040165
-43.6096835,172.7032982
-43.6096812,172.7031824
-43.6096298,172.7032942
-43.6091417,172.7149708
-43.6088382,171.0481715
-43.6072675,172.7003022
-43.6054019,172.6905227
-43.6033974,172.7232474
-43.6030078,172.721894
-43.6028367,172.7210274
-43.6028151,172.7210372
-43.6027778,172.7210903
-43.600488,172.7087301
-43.5906157,172.6432148
-43.5896545,172.7986837
-43.589652,172.7985709
-43.5895338,172.7986108
-43.5796098,172.6142581
-43.5793871,172.6145071
-43.5789886,172.6138536
-43.5750373,172.6164878
-43.5572487,172.7508296
-43.5525285,172.6493492
-43.5499829,-72.3480754
-43.543777,172.664119
-43.5326118,172.6322307
-43.5325889,172.6322145
-43.5319201,172.6199316
-43.5318154,172.6198696
-43.5286487,172.6230723
